Domain,Problem,Planner,Runtime,Makespan
depots,p01,HSP,0.18,9
depots,p01,MCTS,0.81,26
depots,p02,HSP,0.27,14
depots,p02,MCTS,4.47,32
depots,p03,HSP,1.35,29
depots,p03,MCTS,5.98,72
depots,p04,HSP,27.02,29
depots,p04,MCTS,9.81,108
depots,p05,HSP,255.48,46
depots,p05,MCTS,13.36,108



