Domain,Problem,Planner,Runtime,Makespan
gripper,p01,HSP,0.99,8
gripper,p01,MCTS,0.48,20
gripper,p02,HSP,59.67,12
gripper,p02,MCTS,0.68,31
gripper,p03,HSP,null,null
gripper,p03,MCTS,1.09,68
gripper,p04,HSP,null,null
gripper,p04,MCTS,2.15,60
gripper,p05,HSP,null,null
gripper,p05,MCTS,5.06,107



